id;route_length;decision points;condition;gender;age;how_often_use_gmaps;completion_time;errors;nasatlx;route_recall_turns;route_recall_directional_changes;Statement 1;Statement 2;Statement 3;Statement 4;Statement 5
11;1000;5;dot_navigation;Male;25;4;831;0;20;100;100; It wasn’t difficult.; It was cold, so I always had my cell phone in my hand. That has tugged at my well-being.; I found the dot navigation very good, very comprehensible.; Google Maps showed me the wrong route.;  I wouldn't do this by car (dot navigation) because there are no lanes displayed, but on foot it's handy because you see the bird's eye view.
12;1200;8;guided_navigation;Male;25;3;778;0;32;62.5;100;One challenge I faced was that I sometimes didn't quite know how long I still had to walk until I needed to make a turn. My app sometimes had issues displaying how far away a turn still was, so it changed e.g. the meters very quickly before a turn and it went from 50m to 5m in a moment.;A problem with the navigation method was, that you're really guided the entire way and you don't really have the overview of where you need to go. You just follow what you're told.  ;The navigation method entices you to just follow instructions instead of thinking for yourself. ;I would use this navigation method when the conditions aren't that hard, so not really in a downtown area.;I would use this navigation method if I truly trust it to be correct and don't have the feeling of needing to monitor that the changes of direction truly are correct and that I can just follow its instructions. 
13;1000;8;dot_navigation;Female;25;5;772;1;40;75;100;It was not always clear to the subject which way to take when there were multiple paths very close by. However, strictly following the Dot Navigation helped.;The weather presented a real challenge, as there was heavy snowfall during the route. The subject had to hold an umbrella to keep the smartphone possibly dry and still try to look out for real world obstacles.;Generally, the Dot Navigation was considered pleasant, as it suggested more control for navigating the city compared to the Guided Navigation, which feels more constraining.;For navigating inside a close city, the Dot Navigation was considered agreeable, as it leaves more freedom to move and take decisions, e.g. where to cross a street.;With the bad weather conditions, the subject would have preferred a Guided Navigation with voice instructions to dedicate more of the concentration and vision on the city instead on the smartphone screen. Also when navigating with a vehicle, she would have preferred Guided Navigation.
14;1100;7;dot_navigation;Female;23;4;779;0;8.95;100;100;As a whole, the experience was great.;The objective of the experience was clear.;The experiment was easy and no mistake was made, this is because Léonore thinks St.Gallen is a city without many traffics and there are many roads for pedestrians, which made the experiment easier.;She prefers dot navigation to guided navigation in her daily life because sometimes she just needs the information but doesn’t want to exactly follow the instructions provided by the map. However, sometimes she will also use guided navigation to see how much time is left for the route.;She usually uses navigation when she visits somewhere for the first time, for example, when she is travelling.
15;1200;9;dot_navigation;Male;22;4;1085;0;31.3;77.7;77.7;The dot navigation gave a good estimate of where to go.;The participant uses the satellite version of Google Maps.;The participant is confident with using the dot navigation because he usually uses it anyways.;The participant would use the dot navigation every time he has to go somewhere by foot.;The participant had no problems with the route or the navigation system at all.
16;1100;8;guided_navigation;Male;26;3;941;2;21.67;87.5;87.5;Overall, the participant described the experience as pleasant and kind of familiar, with the exception of the guided navigation mode which he never made use of before. Even though the navigation mode was new to the participant, he was positively surprised by it.;During the experiment, he has often put the phone back into his pocket whenever the route lead through a straight road. As soon as the participant arrived at an intersection, the phone vibrated to indicate that there is another turn that needs to be taken. Although this is a nice feature of the application, it is unclear whether this component distorts the outcome of this experiment since there is no comparable feature in the ”dot” navigation mode.;At the very beginning of the experiment, just after starting the navigation mode within the app, the map was displayed top down on the participants screen. However, since he already knew in which direction the route will commence, he did not get confused by this issue.;Almost at the end of the route, the participant at one point did not immediately realize a change of direction. Therefore, he needed to go back a few meters to head back to the correct path. The reason for this error might be related to the participant relying on the vibration in his pocket, as he states.;The participant stated that in the future he would probably rather use the ”dot” navigation method. However, the guided navigation mode seemed useful to him in cases where he would not want to watch his phone during the entire route. Again, relying on the vibration feature that is part of the guided navigation mode. He would probably prefer the guided navigation mode in case he would go on a hike or jogging.
17;1000;8;dot_navigation;Male;24;4;785;0;46.66;100;100;It was a very pleasant experience as I use this function a lot. It was very cold to carry out the experiment as I had to stay focus on the slippery road. Since I have the primary rheumatoid disease, I couldn't feel my fingers because of the cold.;I really like the navigation method a lot. Simple and easy to use. I really appreciate the directional function. I could reach my destination without any big problems;Sometimes I wasn't so sure which way to exactly go. It was rather imprecise;I would only use this method when I’m walking somewhere, otherwise it would be not precise.;-
18;1300;8;guided_navigation;Male;26;4;2544;0;46.66;100;100;It was pretty cold outside, especially holding my cellphone in my hands the whole time. The road was sometimes very slippery, and I had to concentrate very much on the navigation and at the same time how to walk without slipping.;I used the guided navigation. It was unfamiliar to me to use that method as I’ve always used the dot navigation but all in all, it was good and handy to use. I could also reach my destination;I had the feeling that the pointer sometimes did not work properly. It was less precise in narrow streets;I would use this method if I am traveling by car or bike. I can also imagine that I use this method when the dot method doesn't work.;-
19;1000;9;guided_navigation;Male;26;3;765;0;27.66;100;100;Accuracy of the map was not very good. Usually it is better.;Indicator was on the wrong position multiple times and therefore needed to look individually for right turns.;Normally uses dot navigation and don’t like this navigation for walking. Would use this method for driving or cycling.;Google tells to cross a street illegally.;It was cold during the experiment. Could not wear gloves because he needed to use the screen.
20;1000;6;dot_navigation;Male;24;3;936;1;43.66666666666667;100;62.5;The participant had some trouble understanding when Google Maps wanted them to cross a big street. This led to them walking too far down the road before crossing. This was the cause of the one error recorded during the experiment.;The participant says that the dot navigation method allows you to easily get back to the original route as you can zoom out and easily see how to get back. The user is participant to this method. This might be why they got so quickly back to the correct route. ;The participant was not familiar with the route at all. This could also be a reason for why the participant went too far and made the error. If they had been familiar with the route they would probably have known where to cross.;The participant is not used to having to press the button at crossovers. This led to them standing at a red light at the first crossing with pedestrian traffic lights for quite some time before realising they had to press the button. This definitely added to the time taken to finish the route. ;The participant mentioned that it was cold outside. This could mean that they had their hands in their pocket for longer and therefore looked less at their phone to glance at the route. This could also therefore have contributed to the one error made. 
21;950;8;dot_navigation;Male;22;4;745;1;49;100;100;There was snow and ice outside and it was cold. Without that, walking would have been easier.;I always use the dot navigation so i am quite used to it.;Using the dot navigation, one does not need to have the phone at hand all the time. This is especially benefitial with cold weather.;The route was not super easy, because there were some smaller routes in the city center of St.Gallen you had to find. I had to double check sometimes.;I prefer the dot navigation over the guided one and have the feeling i can recall routes better using dot navigation.
